best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0005471518889027251}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.0006776084565096181}
best_stat: {'epoch': 2, 'coco_eval_bbox': 0.0007039419825993176}
best_stat: {'epoch': 2, 'coco_eval_bbox': 0.0007039419825993176}
best_stat: {'epoch': 2, 'coco_eval_bbox': 0.0007039419825993176}
best_stat: {'epoch': 2, 'coco_eval_bbox': 0.0007039419825993176}
best_stat: {'epoch': 6, 'coco_eval_bbox': 0.000719985506600541}
best_stat: {'epoch': 7, 'coco_eval_bbox': 0.0008613912493965623}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.0019963109663281697}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.0019963109663281697}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.0019963109663281697}
best_stat: {'epoch': 11, 'coco_eval_bbox': 0.0022075461373268564}
best_stat: {'epoch': 12, 'coco_eval_bbox': 0.0022547748094032863}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.00250692242542687}
best_stat: {'epoch': 14, 'coco_eval_bbox': 0.0030794483427428482}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.005079290223396783}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.008552656754662923}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.009960372292203883}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.015134027719244266}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.01745091907165363}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.02417883252278814}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.035307009091896685}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.0509538216841399}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.06493440515519645}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.07372398911472167}
best_stat: {'epoch': 25, 'coco_eval_bbox': 0.08008406470010428}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.08502434643210507}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.08598994854211175}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.08598994854211175}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.08598994854211175}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.08831361516997735}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.09389281639072049}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.09850455961094812}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.09850455961094812}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.09850455961094812}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.10671755554786598}
