best_stat: {'epoch': 0, 'coco_eval_bbox': 6.9889341875364e-06}
best_stat: {'epoch': 1, 'coco_eval_bbox': 8.027829810008028e-06}
best_stat: {'epoch': 2, 'coco_eval_bbox': 1.0532968190436064e-05}
best_stat: {'epoch': 3, 'coco_eval_bbox': 1.7909575894019163e-05}
best_stat: {'epoch': 4, 'coco_eval_bbox': 7.954269773587436e-05}
best_stat: {'epoch': 5, 'coco_eval_bbox': 9.834640242762467e-05}
best_stat: {'epoch': 6, 'coco_eval_bbox': 0.00024057305333249492}
best_stat: {'epoch': 7, 'coco_eval_bbox': 0.0004308756822811578}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.0005188979560700832}
best_stat: {'epoch': 9, 'coco_eval_bbox': 0.0011042615769890727}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.0018804982410804878}
best_stat: {'epoch': 11, 'coco_eval_bbox': 0.0038638902163372238}
best_stat: {'epoch': 12, 'coco_eval_bbox': 0.004199473714435375}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.0052365620804285425}
best_stat: {'epoch': 14, 'coco_eval_bbox': 0.0063330162269072746}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.008196850958641956}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.011991409131096803}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.01669405106410721}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.023123415425750866}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.026205150382578694}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.03155128366869231}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.0334811477310563}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.03577925887523489}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.03577925887523489}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.03998497890539634}
best_stat: {'epoch': 25, 'coco_eval_bbox': 0.044316586822888145}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.04771915087495907}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.051103636469171994}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.056998447686818894}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.06502691270098224}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.07293694130365035}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.08017597318586958}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.09283349347378346}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.10010670275693583}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.10010670275693583}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.10010670275693583}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.10010670275693583}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.10729816308918061}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.10729816308918061}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.10729816308918061}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.10729816308918061}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.12310388201763268}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.12310388201763268}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.12310388201763268}
best_stat: {'epoch': 44, 'coco_eval_bbox': 0.12402718843047209}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.14652681816318247}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.14652681816318247}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.14652681816318247}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.15669842016798863}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.15669842016798863}
best_stat: {'epoch': 50, 'coco_eval_bbox': 0.172453531177148}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.1759541809857066}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.1759541809857066}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.1759541809857066}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.1759541809857066}
best_stat: {'epoch': 55, 'coco_eval_bbox': 0.1765960704248846}
best_stat: {'epoch': 55, 'coco_eval_bbox': 0.1765960704248846}
best_stat: {'epoch': 57, 'coco_eval_bbox': 0.18762358838024346}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.20909845931456061}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.20909845931456061}
best_stat: {'epoch': 60, 'coco_eval_bbox': 0.214182037188542}
best_stat: {'epoch': 61, 'coco_eval_bbox': 0.21496268536088706}
best_stat: {'epoch': 62, 'coco_eval_bbox': 0.21884369319663752}
best_stat: {'epoch': 62, 'coco_eval_bbox': 0.21884369319663752}
best_stat: {'epoch': 62, 'coco_eval_bbox': 0.21884369319663752}
best_stat: {'epoch': 65, 'coco_eval_bbox': 0.22062123701293987}
best_stat: {'epoch': 65, 'coco_eval_bbox': 0.22062123701293987}
best_stat: {'epoch': 67, 'coco_eval_bbox': 0.2271005913017491}
