best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0007653866596093592}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.0020151037523240233}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.0020151037523240233}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.0020151037523240233}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.0020151037523240233}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.0020151037523240233}
best_stat: {'epoch': 6, 'coco_eval_bbox': 0.002925901683971893}
best_stat: {'epoch': 7, 'coco_eval_bbox': 0.004401315195838835}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.004675905359359331}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.004675905359359331}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.005000995258603548}
best_stat: {'epoch': 11, 'coco_eval_bbox': 0.007052717625894827}
best_stat: {'epoch': 12, 'coco_eval_bbox': 0.010095657778241}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.010824117433962516}
best_stat: {'epoch': 14, 'coco_eval_bbox': 0.012658905143300491}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.016380670975526906}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.023164283198500352}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.029589554439840307}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.03614730827355623}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.0432831785481245}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.05078743082166153}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.0564083828474139}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.061809953153004964}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.06436510611319218}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.0660464785852974}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.0660464785852974}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.07208409050748045}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.07208409050748045}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.07567022067054173}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.07695461569393319}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.08474387528173793}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.08624687604491067}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.09069410717922616}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.09492378070894403}
best_stat: {'epoch': 34, 'coco_eval_bbox': 0.10486464993960258}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.10761626723254936}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.11383894165622299}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.11383894165622299}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.12059151481329261}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.12059151481329261}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.12059151481329261}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.1245642135411967}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.12461757769784496}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.12461757769784496}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.12461757769784496}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.1353513581580074}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.1353513581580074}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.13720612180183223}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.1484205616272072}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.1484205616272072}
best_stat: {'epoch': 50, 'coco_eval_bbox': 0.15938480809478514}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.16324229916660687}
best_stat: {'epoch': 52, 'coco_eval_bbox': 0.16861716215694997}
