best_stat: {'epoch': 0, 'coco_eval_bbox': 7.475945472973601e-05}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00021779682953055286}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.00034007611029647007}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.00034007611029647007}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.00035204405374867416}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.0019230005374068625}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.0019230005374068625}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.0019230005374068625}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.0027187452189255733}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.009217085878826354}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.012941193947035499}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.014781788657270173}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.015417080277741853}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.01888007670583507}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.02665970945174149}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.02665970945174149}
