best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0010947285051828089}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.003444633949782727}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.0037659195826567696}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.007970537211512793}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.008371508686714619}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.008371508686714619}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.008371508686714619}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.008371508686714619}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.008371508686714619}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.008371508686714619}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.008740237626791377}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.010773803768665345}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.012595216038470023}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.013209954575453885}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.015862573580578687}
best_stat: {'epoch': 34, 'coco_eval_bbox': 0.018128129770542557}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.020852119442834893}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.025499498446944713}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.029893833745704576}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.03254878149750263}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.036163890017064736}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.03807431193252882}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.03817226200477417}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.04144661910810997}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.04195428941193605}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.04195428941193605}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.04195428941193605}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.04195428941193605}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.0467545065189551}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.0467545065189551}
