best_stat: {'epoch': 0, 'coco_eval_bbox': 0.00599114315918024}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.012443781814374404}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.013873554308586002}
best_stat: {'epoch': 9, 'coco_eval_bbox': 0.01519942962950005}
best_stat: {'epoch': 9, 'coco_eval_bbox': 0.01519942962950005}
best_stat: {'epoch': 9, 'coco_eval_bbox': 0.01519942962950005}
best_stat: {'epoch': 12, 'coco_eval_bbox': 0.017489798855485315}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.01969845150566224}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.01969845150566224}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.022522859729041583}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.022522859729041583}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.022522859729041583}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.02582987178024562}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.027071237738142663}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.02881783552257708}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.02881783552257708}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.030828350704963838}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.03180495628110049}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.03180495628110049}
best_stat: {'epoch': 25, 'coco_eval_bbox': 0.03245745777485223}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.03376809694220277}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.03684003894839893}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.03727786365979552}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.038526466392379555}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.041505606593354345}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.0432162640382151}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.0478385224709515}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.05256408329354117}
best_stat: {'epoch': 34, 'coco_eval_bbox': 0.05762650467604351}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.07017588933985985}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.07755417262036639}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.08139162234618937}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.08139162234618937}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.08573341111144736}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.09850181948705684}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.09944850737792807}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.10965449956751304}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.11112002262089857}
best_stat: {'epoch': 44, 'coco_eval_bbox': 0.11662998981654785}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.12195270332142683}
best_stat: {'epoch': 46, 'coco_eval_bbox': 0.12946153850980519}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.1351157182577908}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.1351157182577908}
