best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0}
best_stat: {'epoch': 1, 'coco_eval_bbox': 5.5292352708999857e-05}
best_stat: {'epoch': 2, 'coco_eval_bbox': 0.00027142953195611485}
best_stat: {'epoch': 3, 'coco_eval_bbox': 0.0003275405463724205}
best_stat: {'epoch': 4, 'coco_eval_bbox': 0.00042606581809750624}
best_stat: {'epoch': 4, 'coco_eval_bbox': 0.00042606581809750624}
best_stat: {'epoch': 6, 'coco_eval_bbox': 0.0005692984471562607}
best_stat: {'epoch': 6, 'coco_eval_bbox': 0.0005692984471562607}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.002806206126852243}
best_stat: {'epoch': 9, 'coco_eval_bbox': 0.0050410698716726035}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.006969528752650476}
best_stat: {'epoch': 11, 'coco_eval_bbox': 0.009362268846539217}
best_stat: {'epoch': 11, 'coco_eval_bbox': 0.009362268846539217}
best_stat: {'epoch': 11, 'coco_eval_bbox': 0.009362268846539217}
best_stat: {'epoch': 14, 'coco_eval_bbox': 0.010773797333233786}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.014345558897910478}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.014345558897910478}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.016904137122919823}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.023672707407486275}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.03177538900471582}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.041398628847292826}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.04502549037106784}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.047050440657217606}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.04720295985343063}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.04849040934065646}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.051595070473412066}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.057796356055903365}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.06363734505578206}
best_stat: {'epoch': 34, 'coco_eval_bbox': 0.0699301021283102}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.07647113478940237}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.08350775437447601}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.09196319723109356}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.0991902124839064}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.10276369065456943}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.10859548820039382}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.10859548820039382}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.10861458491663276}
