best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0008708608111638848}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00111172658072243}
best_stat: {'epoch': 13, 'coco_eval_bbox': 0.0012678981312836254}
best_stat: {'epoch': 14, 'coco_eval_bbox': 0.0016575009511032666}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.0018832145817506715}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.0025210902519624814}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.0035132628304012856}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.005829276100074595}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.00847830241162374}
best_stat: {'epoch': 20, 'coco_eval_bbox': 0.013421410381917208}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.020675679607273338}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.023779537664711393}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.03272593826021331}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.04448216435717806}
best_stat: {'epoch': 25, 'coco_eval_bbox': 0.04565871383468363}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.04994647932904805}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.0515688783049557}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.05446241211477409}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.05446241211477409}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.059058411997115624}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.06030020835732538}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.06511843164105785}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.06627906984244758}
best_stat: {'epoch': 34, 'coco_eval_bbox': 0.07209067379068756}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.07900134435231326}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.08491297632443291}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.09003525527362984}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.09776776808295803}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.10700685431070492}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.11159362221154691}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.11461186717712524}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.12991365327756352}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.1332797992485932}
best_stat: {'epoch': 44, 'coco_eval_bbox': 0.14180629633779182}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.1687436899021651}
best_stat: {'epoch': 46, 'coco_eval_bbox': 0.19677801147745097}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.21165512366993508}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.23027768375868501}
best_stat: {'epoch': 49, 'coco_eval_bbox': 0.24932994945238698}
best_stat: {'epoch': 50, 'coco_eval_bbox': 0.25845106170787824}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.27688020630879295}
best_stat: {'epoch': 52, 'coco_eval_bbox': 0.29687041954157795}
best_stat: {'epoch': 53, 'coco_eval_bbox': 0.3095972298417962}
best_stat: {'epoch': 54, 'coco_eval_bbox': 0.3131345420122224}
best_stat: {'epoch': 55, 'coco_eval_bbox': 0.32389598586975304}
best_stat: {'epoch': 56, 'coco_eval_bbox': 0.324571984540956}
best_stat: {'epoch': 57, 'coco_eval_bbox': 0.3307992440577016}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.3317729222174261}
best_stat: {'epoch': 59, 'coco_eval_bbox': 0.33393613021347796}
best_stat: {'epoch': 60, 'coco_eval_bbox': 0.3407437425321454}
best_stat: {'epoch': 60, 'coco_eval_bbox': 0.3407437425321454}
best_stat: {'epoch': 62, 'coco_eval_bbox': 0.34230003385705854}
best_stat: {'epoch': 63, 'coco_eval_bbox': 0.35128078229934506}
best_stat: {'epoch': 64, 'coco_eval_bbox': 0.3524682784262658}
best_stat: {'epoch': 65, 'coco_eval_bbox': 0.35458303315293704}
best_stat: {'epoch': 66, 'coco_eval_bbox': 0.3576713402727319}
best_stat: {'epoch': 66, 'coco_eval_bbox': 0.3576713402727319}
best_stat: {'epoch': 66, 'coco_eval_bbox': 0.3576713402727319}
best_stat: {'epoch': 66, 'coco_eval_bbox': 0.3576713402727319}
best_stat: {'epoch': 70, 'coco_eval_bbox': 0.36008600407599567}
best_stat: {'epoch': 71, 'coco_eval_bbox': 0.3613633161417882}
best_stat: {'epoch': 72, 'coco_eval_bbox': 0.3624717891660359}
best_stat: {'epoch': 73, 'coco_eval_bbox': 0.3628421905969458}
