best_stat:  {'epoch': 0, 'coco_eval_bbox': 0.0002586547492052941}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.04302570344230217}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.08070694268689595}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.08070694268689595}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.08070694268689595}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.08070694268689595}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.08070694268689595}
best_stat:  {'epoch': 7, 'coco_eval_bbox': 0.08784018528522176}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.10756651478065712}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.10756651478065712}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.13506482600354908}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.15465385073210186}
best_stat:  {'epoch': 12, 'coco_eval_bbox': 0.17850684538361122}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.19587225360984303}
best_stat:  {'epoch': 14, 'coco_eval_bbox': 0.20341767734087415}
best_stat:  {'epoch': 15, 'coco_eval_bbox': 0.2164751132198237}
best_stat:  {'epoch': 15, 'coco_eval_bbox': 0.2164751132198237}
best_stat:  {'epoch': 15, 'coco_eval_bbox': 0.2164751132198237}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.24426672305742156}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.24426672305742156}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.278407341007714}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.278407341007714}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.278407341007714}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.28037286820343277}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.28037286820343277}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.28037286820343277}
best_stat:  {'epoch': 26, 'coco_eval_bbox': 0.2872930845461455}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.2961435863339713}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.2961435863339713}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.2961435863339713}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.2961435863339713}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.2961435863339713}
best_stat:  {'epoch': 32, 'coco_eval_bbox': 0.29920920324974687}
best_stat:  {'epoch': 32, 'coco_eval_bbox': 0.29920920324974687}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3037071236240767}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3037071236240767}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3037071236240767}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3037071236240767}
best_stat:  {'epoch': 38, 'coco_eval_bbox': 0.3088690178411737}
best_stat:  {'epoch': 38, 'coco_eval_bbox': 0.3088690178411737}
best_stat:  {'epoch': 38, 'coco_eval_bbox': 0.3088690178411737}
best_stat:  {'epoch': 41, 'coco_eval_bbox': 0.3127707564763531}
best_stat:  {'epoch': 41, 'coco_eval_bbox': 0.3127707564763531}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.3182001372976457}
best_stat:  {'epoch': 54, 'coco_eval_bbox': 0.31829332217935385}
best_stat:  {'epoch': 54, 'coco_eval_bbox': 0.31829332217935385}
best_stat:  {'epoch': 54, 'coco_eval_bbox': 0.31829332217935385}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.3183373529389236}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.3183373529389236}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.3183373529389236}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.32803777198089085}
best_stat:  {'epoch': 67, 'coco_eval_bbox': 0.33251204927594236}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3372411867136485}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 80, 'coco_eval_bbox': 0.3463908581397563}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.35032562990563476}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.3600894227033265}
