best_stat:  {'epoch': 0, 'coco_eval_bbox': 0.004528185273246169}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.04118633941661961}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.04118633941661961}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.0562833953907211}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.0562833953907211}
best_stat:  {'epoch': 5, 'coco_eval_bbox': 0.05841613800081817}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06211055651437905}
best_stat:  {'epoch': 7, 'coco_eval_bbox': 0.0761062629086372}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.07982337732430876}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.07982337732430876}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.08009933039170995}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.10045041960822036}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.10045041960822036}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.11357860711487322}
best_stat:  {'epoch': 14, 'coco_eval_bbox': 0.1457953287302714}
best_stat:  {'epoch': 14, 'coco_eval_bbox': 0.1457953287302714}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.1631849358190726}
best_stat:  {'epoch': 17, 'coco_eval_bbox': 0.17308768154048998}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.18349326010412995}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.18349326010412995}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.19674534605646468}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.20920891106457218}
best_stat:  {'epoch': 22, 'coco_eval_bbox': 0.22014994445539496}
best_stat:  {'epoch': 22, 'coco_eval_bbox': 0.22014994445539496}
best_stat:  {'epoch': 22, 'coco_eval_bbox': 0.22014994445539496}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.22553681927207264}
best_stat:  {'epoch': 26, 'coco_eval_bbox': 0.23651862221039174}
