best_stat:  {'epoch': 0, 'coco_eval_bbox': 0.011608426831188458}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.09504523259254821}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.11722145543738782}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.11722145543738782}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.12182710623617049}
best_stat:  {'epoch': 5, 'coco_eval_bbox': 0.15484253266771986}
best_stat:  {'epoch': 5, 'coco_eval_bbox': 0.15484253266771986}
best_stat:  {'epoch': 7, 'coco_eval_bbox': 0.19895986511048125}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.20394940685235757}
best_stat:  {'epoch': 9, 'coco_eval_bbox': 0.22857122630680105}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.25273724941219516}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.25273724941219516}
best_stat:  {'epoch': 12, 'coco_eval_bbox': 0.2771883435836653}
best_stat:  {'epoch': 12, 'coco_eval_bbox': 0.2771883435836653}
best_stat:  {'epoch': 12, 'coco_eval_bbox': 0.2771883435836653}
best_stat:  {'epoch': 15, 'coco_eval_bbox': 0.2826598578010332}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.2906140845161142}
best_stat:  {'epoch': 17, 'coco_eval_bbox': 0.29307559954204115}
best_stat:  {'epoch': 17, 'coco_eval_bbox': 0.29307559954204115}
best_stat:  {'epoch': 17, 'coco_eval_bbox': 0.29307559954204115}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.2957182168882639}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.3073355992909919}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.3073355992909919}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.3073355992909919}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.3073355992909919}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.3196114368996731}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.3196114368996731}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.32275876270449344}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.32275876270449344}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.32275876270449344}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.32275876270449344}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.32275876270449344}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.32275876270449344}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.3291963839088188}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3309766933742266}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3309766933742266}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3309766933742266}
best_stat:  {'epoch': 34, 'coco_eval_bbox': 0.3309766933742266}
best_stat:  {'epoch': 38, 'coco_eval_bbox': 0.33177479340080684}
best_stat:  {'epoch': 38, 'coco_eval_bbox': 0.33177479340080684}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3461844642745625}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
best_stat:  {'epoch': 49, 'coco_eval_bbox': 0.3554782773660064}
