best_stat:  {'epoch': 0, 'coco_eval_bbox': 0.0030023638865047833}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.046988423646978375}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.06325943423544184}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.06518631795874927}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.08163144897133126}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.08163144897133126}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.12087511916355051}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.12087511916355051}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.13792898471006756}
best_stat:  {'epoch': 9, 'coco_eval_bbox': 0.1594126736115983}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.1670645362395698}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.21337831893632717}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.21337831893632717}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.22198042856135433}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.22198042856135433}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.22198042856135433}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.24066253393083625}
best_stat:  {'epoch': 17, 'coco_eval_bbox': 0.2543257896499874}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.26967889785566473}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.26967889785566473}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.2725271964124923}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.2725271964124923}
best_stat:  {'epoch': 22, 'coco_eval_bbox': 0.28893551874528584}
best_stat:  {'epoch': 22, 'coco_eval_bbox': 0.28893551874528584}
best_stat:  {'epoch': 24, 'coco_eval_bbox': 0.2960617113951431}
best_stat:  {'epoch': 24, 'coco_eval_bbox': 0.2960617113951431}
best_stat:  {'epoch': 24, 'coco_eval_bbox': 0.2960617113951431}
best_stat:  {'epoch': 24, 'coco_eval_bbox': 0.2960617113951431}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.29870915259338154}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.29870915259338154}
best_stat:  {'epoch': 30, 'coco_eval_bbox': 0.30008987666914444}
best_stat:  {'epoch': 31, 'coco_eval_bbox': 0.31506620022547865}
best_stat:  {'epoch': 31, 'coco_eval_bbox': 0.31506620022547865}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.31964886369280904}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3256835263777659}
best_stat:  {'epoch': 40, 'coco_eval_bbox': 0.3256835263777659}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3294540021333391}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3294540021333391}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3294540021333391}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3294540021333391}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3294540021333391}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3294540021333391}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.33094530024803503}
best_stat:  {'epoch': 56, 'coco_eval_bbox': 0.33256747066403713}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33575832960846536}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33575832960846536}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33575832960846536}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.3402151813316816}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.3402151813316816}
best_stat:  {'epoch': 60, 'coco_eval_bbox': 0.3402151813316816}
best_stat:  {'epoch': 63, 'coco_eval_bbox': 0.34109067144859834}
best_stat:  {'epoch': 63, 'coco_eval_bbox': 0.34109067144859834}
best_stat:  {'epoch': 63, 'coco_eval_bbox': 0.34109067144859834}
best_stat:  {'epoch': 66, 'coco_eval_bbox': 0.3479617739755913}
best_stat:  {'epoch': 66, 'coco_eval_bbox': 0.3479617739755913}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3522256463927501}
best_stat:  {'epoch': 75, 'coco_eval_bbox': 0.3549160931886054}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.35867526654964554}
best_stat:  {'epoch': 109, 'coco_eval_bbox': 0.3632275183474789}
best_stat:  {'epoch': 109, 'coco_eval_bbox': 0.3632275183474789}
best_stat:  {'epoch': 109, 'coco_eval_bbox': 0.3632275183474789}
best_stat:  {'epoch': 109, 'coco_eval_bbox': 0.3632275183474789}
best_stat:  {'epoch': 109, 'coco_eval_bbox': 0.3632275183474789}
best_stat:  {'epoch': 109, 'coco_eval_bbox': 0.3632275183474789}
