best_stat:  {'epoch': 0, 'coco_eval_bbox': 2.4305946913061635e-05}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.015363641860934373}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.021936449663929117}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.04323983872309675}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.04323983872309675}
best_stat:  {'epoch': 5, 'coco_eval_bbox': 0.0660723933434941}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 6, 'coco_eval_bbox': 0.06938818092509429}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.07425874958964193}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.07425874958964193}
best_stat:  {'epoch': 15, 'coco_eval_bbox': 0.10255813800205328}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.10467549023984667}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.10467549023984667}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.10595607033495326}
best_stat:  {'epoch': 19, 'coco_eval_bbox': 0.12055825041144758}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.13665382104438814}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.13665382104438814}
best_stat:  {'epoch': 22, 'coco_eval_bbox': 0.16456692012574364}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21934158342405907}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21934158342405907}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.22307271485462132}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.22307271485462132}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.23145257181137616}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 28, 'coco_eval_bbox': 0.2657008518368474}
best_stat:  {'epoch': 36, 'coco_eval_bbox': 0.28151553274943864}
best_stat:  {'epoch': 37, 'coco_eval_bbox': 0.29977821554345374}
best_stat:  {'epoch': 37, 'coco_eval_bbox': 0.29977821554345374}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.30716492552254754}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.30716492552254754}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.30716492552254754}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3099464103694148}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3099464103694148}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3099464103694148}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3099464103694148}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3099464103694148}
best_stat:  {'epoch': 42, 'coco_eval_bbox': 0.3099464103694148}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 48, 'coco_eval_bbox': 0.32946238440928133}
best_stat:  {'epoch': 56, 'coco_eval_bbox': 0.33959795886959765}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33966562564033176}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33966562564033176}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33966562564033176}
best_stat:  {'epoch': 57, 'coco_eval_bbox': 0.33966562564033176}
best_stat:  {'epoch': 61, 'coco_eval_bbox': 0.3525333011557736}
best_stat:  {'epoch': 61, 'coco_eval_bbox': 0.3525333011557736}
best_stat:  {'epoch': 61, 'coco_eval_bbox': 0.3525333011557736}
best_stat:  {'epoch': 61, 'coco_eval_bbox': 0.3525333011557736}
best_stat:  {'epoch': 61, 'coco_eval_bbox': 0.3525333011557736}
best_stat:  {'epoch': 61, 'coco_eval_bbox': 0.3525333011557736}
